numberofprocesses|gradenumber|Broadcast time|Compute time|Reduce Time|Total time
2|10|0.000009|0.000001|0.000291|0.000302
2|100|0.000018|0.000032|0.000017|0.000066
2|1000|0.000327|0.002953|0.000067|0.003341
2|10000|0.000177|0.286038|0.005298|0.286399
2|100000|0.000572|29.671594|1.408146|29.673210
12|10|0.020654|0.000001|0.010580|0.031234
12|100|0.020236|0.000021|0.010638|0.030882
12|1000|0.031277|0.000579|0.001450|0.033195
12|10000|0.030210|0.055810|0.026115|0.094773
12|100000|0.068661|5.490520|1.743348|5.576767
22|10|0.010326|0.000001|0.022735|0.033062
22|100|0.047998|0.000017|0.000009|0.048010
22|1000|0.084001|0.000385|0.319801|0.404016
22|10000|0.025659|0.050106|3.611826|3.657740
22|100000|0.025138|4.446540|6.601818|8.651602
32|10|0.020207|0.000002|0.126341|0.146549
32|100|0.070523|0.000015|0.108253|0.178778
32|1000|0.076273|0.000313|0.351980|0.428404
32|10000|0.029909|0.077151|3.847174|3.890867
32|100000|0.026952|6.362477|10.475788|11.909853
42|10|0.025734|0.000004|0.160929|0.186664
42|100|0.018500|0.000010|0.052794|0.071296
42|1000|0.086153|0.000177|0.389767|0.476038
42|10000|0.080729|0.082985|5.641872|5.733050
42|100000|0.094817|6.883398|14.933412|16.080660
52|10|0.010316|0.000001|0.156595|0.166911
52|100|0.012266|0.000014|0.111205|0.123473
52|1000|0.092246|0.000224|0.400091|0.492439
52|10000|0.078704|0.061175|5.253909|5.341017
52|100000|0.018706|4.845643|10.429315|11.263455
