numberofprocesses,gradenumber,Broadcast time,Compute time,Reduce Time,Total time
2,10,0.000028,0.000003,0.000079,0.000111
2,100,0.000065,0.000116,0.000052,0.000229
2,1000,0.000149,0.010778,0.000468,0.011059
2,10000,0.000622,0.313000,0.008816,0.313825
2,100000,0.001980,27.877905,0.896254,27.880933
12,10,0.010547,0.000003,0.020497,0.031047
12,100,0.010888,0.000045,0.011453,0.022368
12,1000,0.021082,0.001038,0.002766,0.024220
12,10000,0.020008,0.061726,0.025737,0.090898
12,100000,0.059327,5.574837,1.944621,5.657778
22,10,0.010734,0.000002,0.021607,0.032342
22,100,0.010713,0.000022,0.020977,0.031701
22,1000,0.022866,0.000793,0.009865,0.033521
22,10000,0.024451,0.038935,0.020935,0.072016
22,100000,0.016576,2.971121,1.021590,3.028548
32,10,0.011245,0.000003,0.031109,0.042357
32,100,0.011389,0.000015,0.021338,0.032734
32,1000,0.020705,0.000583,0.022193,0.043445
32,10000,0.019770,0.049037,0.084799,0.120724
32,100000,0.026822,2.041062,0.832979,2.284604
42,10,0.010982,0.000003,0.031512,0.042497
42,100,0.025793,0.000024,0.018997,0.044793
42,1000,0.020941,0.000420,0.075426,0.096492
42,10000,0.020661,0.035792,0.124452,0.156796
42,100000,0.014327,1.660017,0.713933,1.783450
52,10,0.010666,0.000001,0.031843,0.042511
52,100,0.010733,0.000050,0.022051,0.032787
52,1000,0.020603,0.000498,0.018916,0.039623
52,10000,0.031198,0.025285,0.069406,0.109251
52,100000,0.013761,1.302244,0.804010,1.658002
