numberofprocesses,size,zeros,multiplications,CSR construction,Broadcast time,Compute time (CSR),Total time (CSR),Total time (Dense)
2,10,20,5,0.000006,0.000228,0.000052,0.000286,0.000047
2,10,20,10,0.000006,0.000059,0.000229,0.000295,0.000066
2,10,20,15,0.000006,0.000104,0.000116,0.000227,0.000078
2,10,40,5,0.000007,0.000158,0.000059,0.000226,0.000047
2,10,40,10,0.000007,0.000171,0.000105,0.000283,0.000059
2,10,40,15,0.000002,0.000048,0.000032,0.000083,0.000020
2,10,60,5,0.000006,0.000165,0.000059,0.000231,0.000047
2,10,60,10,0.000007,0.000160,0.000101,0.000269,0.000060
2,10,60,15,0.000004,0.000097,0.000074,0.000174,0.000031
2,10,80,5,0.000006,0.000163,0.000046,0.000216,0.000048
2,10,80,10,0.000005,0.000228,0.000098,0.000333,0.000062
2,10,80,15,0.000002,0.000072,0.000038,0.000112,0.000022
2,100,20,5,0.000459,0.000512,0.000357,0.001329,0.000291
2,100,20,10,0.000476,0.000476,0.000685,0.001638,0.000719
2,100,20,15,0.000469,0.000477,0.001050,0.001996,0.001007
2,100,40,5,0.000608,0.000427,0.000289,0.001324,0.000309
2,100,40,10,0.000607,0.000416,0.000540,0.001564,0.000611
2,100,40,15,0.000617,0.000430,0.000825,0.001873,0.000871
2,100,60,5,0.000587,0.000424,0.000208,0.001220,0.000291
2,100,60,10,0.000584,0.000386,0.000387,0.001358,0.000634
2,100,60,15,0.000591,0.000397,0.000638,0.001627,0.001016
2,100,80,5,0.000092,0.000101,0.000035,0.000229,0.000077
2,100,80,10,0.000353,0.000482,0.000229,0.001065,0.000650
2,100,80,15,0.000354,0.000342,0.000349,0.001047,0.000900
2,1000,20,5,0.012020,0.003623,0.007943,0.023588,0.007009
2,1000,20,10,0.012035,0.003750,0.015891,0.031677,0.013686
2,1000,20,15,0.011962,0.003689,0.023554,0.039207,0.020330
2,1000,40,5,0.015961,0.003082,0.005952,0.024997,0.007028
2,1000,40,10,0.016249,0.003171,0.012186,0.031608,0.013770
2,1000,40,15,0.015780,0.003046,0.017817,0.036644,0.020657
2,1000,60,5,0.015135,0.002517,0.003984,0.021638,0.006864
2,1000,60,10,0.015440,0.002488,0.007895,0.025824,0.013895
2,1000,60,15,0.015204,0.002578,0.011873,0.029656,0.020354
2,1000,80,5,0.009830,0.001940,0.002057,0.013829,0.006867
2,1000,80,10,0.009947,0.001874,0.004204,0.016027,0.013552
